Ronda,Partido,Local,Visitante,Goles_Local,Goles_Visitante,Estado,Nota
R32,1,Por definir,Por definir,,,pendiente,Ronda de 32
R32,2,Por definir,Por definir,,,pendiente,Ronda de 32
R32,3,Por definir,Por definir,,,pendiente,Ronda de 32
R32,4,Por definir,Por definir,,,pendiente,Ronda de 32
R32,5,Por definir,Por definir,,,pendiente,Ronda de 32
R32,6,Por definir,Por definir,,,pendiente,Ronda de 32
R32,7,Por definir,Por definir,,,pendiente,Ronda de 32
R32,8,Por definir,Por definir,,,pendiente,Ronda de 32
R32,9,Por definir,Por definir,,,pendiente,Ronda de 32
R32,10,Por definir,Por definir,,,pendiente,Ronda de 32
R32,11,Por definir,Por definir,,,pendiente,Ronda de 32
R32,12,Por definir,Por definir,,,pendiente,Ronda de 32
R32,13,Por definir,Por definir,,,pendiente,Ronda de 32
R32,14,Por definir,Por definir,,,pendiente,Ronda de 32
R32,15,Por definir,Por definir,,,pendiente,Ronda de 32
R32,16,Por definir,Por definir,,,pendiente,Ronda de 32
R32,17,Por definir,Por definir,,,pendiente,Ronda de 32
R32,18,Por definir,Por definir,,,pendiente,Ronda de 32
R32,19,Por definir,Por definir,,,pendiente,Ronda de 32
R32,20,Por definir,Por definir,,,pendiente,Ronda de 32
R32,21,Por definir,Por definir,,,pendiente,Ronda de 32
R32,22,Por definir,Por definir,,,pendiente,Ronda de 32
R32,23,Por definir,Por definir,,,pendiente,Ronda de 32
R32,24,Por definir,Por definir,,,pendiente,Ronda de 32
R32,25,Por definir,Por definir,,,pendiente,Ronda de 32
R32,26,Por definir,Por definir,,,pendiente,Ronda de 32
R32,27,Por definir,Por definir,,,pendiente,Ronda de 32
R32,28,Por definir,Por definir,,,pendiente,Ronda de 32
R32,29,Por definir,Por definir,,,pendiente,Ronda de 32
R32,30,Por definir,Por definir,,,pendiente,Ronda de 32
R32,31,Por definir,Por definir,,,pendiente,Ronda de 32
R32,32,Por definir,Por definir,,,pendiente,Ronda de 32
R16,1,Por definir,Por definir,,,pendiente,Ronda de 16
R16,2,Por definir,Por definir,,,pendiente,Ronda de 16
R16,3,Por definir,Por definir,,,pendiente,Ronda de 16
R16,4,Por definir,Por definir,,,pendiente,Ronda de 16
R16,5,Por definir,Por definir,,,pendiente,Ronda de 16
R16,6,Por definir,Por definir,,,pendiente,Ronda de 16
R16,7,Por definir,Por definir,,,pendiente,Ronda de 16
R16,8,Por definir,Por definir,,,pendiente,Ronda de 16
R16,9,Por definir,Por definir,,,pendiente,Ronda de 16
R16,10,Por definir,Por definir,,,pendiente,Ronda de 16
R16,11,Por definir,Por definir,,,pendiente,Ronda de 16
R16,12,Por definir,Por definir,,,pendiente,Ronda de 16
R16,13,Por definir,Por definir,,,pendiente,Ronda de 16
R16,14,Por definir,Por definir,,,pendiente,Ronda de 16
R16,15,Por definir,Por definir,,,pendiente,Ronda de 16
R16,16,Por definir,Por definir,,,pendiente,Ronda de 16
QF,1,Por definir,Por definir,,,pendiente,Cuartos de final
QF,2,Por definir,Por definir,,,pendiente,Cuartos de final
QF,3,Por definir,Por definir,,,pendiente,Cuartos de final
QF,4,Por definir,Por definir,,,pendiente,Cuartos de final
QF,5,Por definir,Por definir,,,pendiente,Cuartos de final
QF,6,Por definir,Por definir,,,pendiente,Cuartos de final
QF,7,Por definir,Por definir,,,pendiente,Cuartos de final
QF,8,Por definir,Por definir,,,pendiente,Cuartos de final
SF,1,Por definir,Por definir,,,pendiente,Semifinales
SF,2,Por definir,Por definir,,,pendiente,Semifinales
SF,3,Por definir,Por definir,,,pendiente,Semifinales
SF,4,Por definir,Por definir,,,pendiente,Semifinales
Final,1,Por definir,Por definir,,,pendiente,Final
